REGIONAL;SUPERVISOR;VENDEDOR;ROTA;CNPJ;FANTASIA;FORMA DE PAGAMENTO;SEM COMPRAR?;Nº PEDIDOS; MÉDIA FATURAMENTO LÍQ ; TKT MED ;% MARGEM CONTRIBUIÇÃO;R$ MARGEM DE CONTRIBUIÇÃO;FAIXA;LUCRO MEDIO;LATITUDE;LONGITUDE
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;100 - L82-PENTECOSTE-SEDE;11;MERCADINHO NOVA OPCAO;7 dias Boleto;-;1; R$ 187,40 ; R$ 187,40 ;31,32%; R$ 791,71 ;REGULAR (R$ 180 À R$ 200); R$ 71,53 ;-3.7966159;-39.2681354
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;105 - L82-APUIARES-SEDE;33;LIRA;A vista  + 10 dias;-;2; R$ 238,39 ; R$ 119,20 ;23,21%; R$ 1.186,86 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ 61,63 ;-3.9476121;-39.4305695
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;100 - L82-PENTECOSTE-SEDE;36;CHICO CARDOSO;14 dias Boleto;-;2; R$ 2.084,06 ; R$ 1.042,03 ;35,21%; R$ 13.218,03 ;MÁXIMO (ACIMA DE R$ 200; R$ 819,69 ;-3.7926565;-39.2723376
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;105 - L82-APUIARES-SEDE;41;PADARIA NOSSA SRA DAS GRACAS;14 dias Boleto;SIM;0; R$ -   ; R$ -   ;37,64%; R$ 1.299,98 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.948318;-39.4309554
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;151 - L82-SGA-CROATA ;61;MERCI DO PAULAO;A vista  + 10 dias;-;2; R$ 729,33 ; R$ 364,67 ;42,82%; R$ 5.147,06 ;MÁXIMO (ACIMA DE R$ 200; R$ 341,62 ;-3.6743502;-39.1158104
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;115 - L82-TEJUCUOCA-SEDE ;66;COMERCIAL CHICO SIDOR;A vista  + 10 dias;-;1; R$ 137,30 ; R$ 137,30 ;46,73%; R$ 685,50 ;MÍNIMO (R$ 130 À R$ 150); R$ 72,77 ;-3.989731;-39.579062
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;115 - L82-TEJUCUOCA-SEDE ;67;MERCANTIL O PIONEIRO;14 dias Boleto;-;2; R$ 3.457,27 ; R$ 1.728,64 ;37,56%; R$ 21.870,44 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.499,11 ;-3.9898233;-39.5787051
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;144 - L82-PARACURU(SEDE)+POCO DOCE;70;PAIFICADORA PAO & CIA;7 dias Boleto;SIM;0; R$ -   ; R$ -   ;37,64%; R$ 1.501,97 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.4149346;-39.0232462
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;120 - L82-S.LUIS CURU-SEDE;79;MECADINHO RAY;A vista  + 10 dias;-;1; R$ 201,20 ; R$ 201,20 ;42,52%; R$ 1.726,45 ;MÁXIMO (ACIMA DE R$ 200; R$ 103,78 ;-3.6742868;-39.2404325
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;144 - L82-PARACURU(SEDE)+POCO DOCE;89;MERCADINHO KIBOM;A vista  + 10 dias;-;1; R$ 210,00 ; R$ 210,00 ;45,30%; R$ 1.686,33 ;MÁXIMO (ACIMA DE R$ 200; R$ 104,60 ;-3.4212678;-39.0344657
